,search_term,title,author,publisher,ratings_count,average_rating,pub_date,pub_year
5,Broken Earth,"Law of the Broken Earth (Griffin Mage, #3)",Rachel Neumeier,,422,3.69,"(None, None, None)",
6,Broken Earth,Broken Earth,Lee Ryder,Ryder Publishing,24,4.34,"('11', '5', '2013')",2013
7,Broken Earth,"Broken (The Discordant Earth Series, #1)",Melony Paradise,,23,3.87,"('4', '11', '2017')",2017
8,Broken Earth,The Broken Wings / The Earth Gods / The Forerunner,Kahlil Gibran,Echo Library,41,3.80,"('6', '1', '2009')",2009
9,Broken Earth,The Dead Planet (The Broken Earth Saga Book 1),T.J.  Ryan,,41,3.80,"(None, None, None)",
10,Broken Earth,Broken Earth: The Rural Chinese,Steven W. Mosher,Free Press,18,4.29,"('9', '1', '1984')",1984
11,Broken Earth,Broken Mirror: Resonant Earth Volume 1,Cody Sisco,,17,3.92,"(None, None, None)",
12,Broken Earth,"N. K. Jemisin Books 2017 Checklist: Reading Order of Dreamblood Series, Inheritance Trilogy, The Broken Earth Series and List of All N. K. Jemisin Books",Series List,,4,4.00,"(None, None, None)",
13,Broken Earth,The Contested Planet (The Broken Earth Saga Book 2),T.J. Ryan,,17,3.53,"(None, None, None)",
14,Broken Earth,Unknown Enemy: Broken Earth Book 1,Nick S. Thomas,,9,3.78,"(None, None, None)",
15,Broken Earth,This Broken Earth,Roger Colby,,5,3.64,"(None, None, None)",
16,Broken Earth,Radical Joy for Hard Times: Finding Meaning and Making Beauty in Earth's Broken Places,Trebbe Johnson,,4,4.50,"(None, None, None)",
17,Broken Earth,Lethal Strike: Broken Earth Book 2,Nick S. Thomas,,13,4.54,"(None, None, None)",
18,Broken Earth,Broken Earth (Savage Worlds),Matthew J. Hanson,Sneak Attack Presss,6,3.22,"('4', '15', '2014')",2014
19,Broken Earth,To Rule This Broken Earth,Joseph Garraty,"Ragman Press, LLC",8,4.12,"('2', '12', '2012')",2012
0,Ammonite,Ammonite,Nicola Griffith,Del Rey,3585,3.87,"('4', '28', '2002')",2002
1,Ammonite,Dancing Fish and Ammonites: A Memoir,Penelope Lively,Viking,700,3.63,"('2', '6', '2014')",2014
2,Ammonite,The Ammonite Violin & Others,Caitlín R. Kiernan,Subterranean Press,212,4.11,"(None, None, '2010')",2010
